ID,treemmer
AG_347_B23,HLII_SAG
AG_347_G18,HLII_SAG
AG_347_G20,HLII_SAG
AG_347_G22,HLII_SAG
AG_347_I06,HLII_SAG
AG_347_I15,HLII_SAG
AG_347_I19,HLII_SAG
AG_347_I21,HLII_SAG
AG_347_I22,HLII_SAG
AG_347_I23,HLII_SAG
AG_347_J14,HLII_SAG
AG_347_J19,HLII_SAG
AG_347_J20,HLII_SAG
AG_347_J21,HLII_SAG
AG_347_J23,HLII_SAG
AG_347_K02,HLII_SAG
AG_347_K15,HLII_SAG
AG_347_K16,HLII_SAG
AG_347_K17,HLII_SAG
AG_347_K18,HLII_SAG
AG_347_K19,HLII_SAG
AG_347_K20,HLII_SAG
AG_347_K21,HLII_SAG
AG_347_K23,HLII_SAG
AG_347_L02,HLII_SAG
AG_347_L17,HLII_SAG
AG_347_L19,HLII_SAG
AG_347_L20,HLII_SAG
AG_347_L21,HLII_SAG
AG_347_M15,HLII_SAG
AG_347_M18,HLII_SAG
AG_347_M23,HLII_SAG
AG_347_N19,HLII_SAG
AG_347_N23,HLII_SAG
AG_347_O22,HLII_SAG
AG_355_A02,HLII_SAG
AG_355_A09,HLII_SAG
AG_355_B18,HLII_SAG
AG_355_B23,HLII_SAG
AG_355_G23,HLII_SAG
AG_355_I04,HLII_SAG
AG_355_I20,HLII_SAG
AG_355_J04,HLII_SAG
AG_355_J09,HLII_SAG
AG_355_J21,HLII_SAG
AG_355_J23,HLII_SAG
AG_355_K13,HLII_SAG
AG_355_K15,HLII_SAG
AG_355_K20,HLII_SAG
AG_355_K23,HLII_SAG
AG_355_L02,HLII_SAG
AG_355_L20,HLII_SAG
AG_355_L21,HLII_SAG
AG_355_L22,HLII_SAG
AG_355_M02,HLII_SAG
AG_355_M18,HLII_SAG
AG_355_N02,HLII_SAG
AG_355_N16,HLII_SAG
AG_355_N18,HLII_SAG
AG_355_N21,HLII_SAG
AG_355_N22,HLII_SAG
AG_355_N23,HLII_SAG
AG_355_O17,HLII_SAG
AG_355_P07,HLII_SAG
AG_355_P11,HLII_SAG
AG_355_P15,HLII_SAG
AG_355_P16,HLII_SAG
AG_355_P18,HLII_SAG
AG_355_P23,HLII_SAG
AG_363_A05,HLII_SAG
AG_363_B18,HLI_SAG
AG_363_L17,HLI_SAG
AG_363_P06,HLI_SAG
AG_402_G23,HLII_SAG
AG_402_I23,HLII_SAG
AG_402_K10,HLI_SAG
AG_402_K16,HLII_SAG
AG_402_K21,HLII_SAG
AG_402_K22,HLII_SAG
AG_402_L18,HLI_SAG
AG_402_L23,HLII_SAG
AG_402_M15,HLII_SAG
AG_402_N23,HLII_SAG
AG_402_O16,HLII_SAG
AG_363_A03,LLI_SAG
AG_363_A04,LLI_SAG
AG_363_B05,LLI_SAG
AG_363_B19,LLI_SAG
AG_363_G03,LLI_SAG
AG_363_M20,LLI_SAG
AG_402_A21,LLI_SAG
AG_402_I05,LLI_SAG
AG_402_I20,LLI_SAG
AG_402_I21,LLI_SAG
AG_402_I22,LLI_SAG
AG_402_J18,LLI_SAG
AG_402_K14,LLI_SAG
AG_402_L09,LLI_SAG
AG_402_L19,LLI_SAG
AG_402_L20,LLI_SAG
AG_402_M18,LLI_SAG
AG_402_M23,LLI_SAG
AG_402_O21,LLI_SAG
AG_402_P16,LLI_SAG
AG_402_P18,LLI_SAG
AG_363_B11,LLII_SAG
AG_363_C02,LLII_SAG
AG_363_G23,OTHER_SAG
AG_363_I21,LLII_SAG
AG_363_M21,LLIII_SAG
AG_363_N03,LLIII_SAG
AG_363_N16,LLIII_SAG
AG_402_G22,LLIII_SAG
AG_402_N21,LLIII_SAG
AG_311_I09,HLI_SAG
AG_311_J05,HLI_SAG
AG_311_M23,HLI_SAG
AG_321_D23,HLI_SAG
AG_321_E21,HLI_SAG
AG_321_F02,HLI_SAG
AG_321_G20,HLI_SAG
AG_321_M21,HLI_SAG
AG_331_E10,HLI_SAG
AG_335_A05,HLI_SAG
AG_335_B08,HLI_SAG
AG_335_C21,HLI_SAG
AG_335_D02,HLI_SAG
AG_335_D04,HLI_SAG
AG_335_E22,HLI_SAG
AG_335_I21,HLI_SAG
AG_335_J19,HLI_SAG
AG_335_L06,HLI_SAG
AG_335_N20,HLI_SAG
AG_335_O19,HLI_SAG
AG_335_P02,HLI_SAG
AG_388_A04,HLI_SAG
AG_388_B05,HLI_SAG
AG_388_D03,HLI_SAG
AG_388_E21,HLI_SAG
AG_388_I18,HLI_SAG
AG_388_J02,HLI_SAG
AG_418_M08,HLI_SAG
AG_442_D10,HLI_SAG
AG_442_M23,HLI_SAG
AG_442_N17,HLI_SAG
AG_455_O05,HLI_SAG
AG_459_A01,HLI_SAG
AG_459_O03,HLI_SAG
AG_459_P16,HLI_SAG
AG_459_P19,HLI_SAG
AG_469_F15,HLI_SAG
AG_469_F22,HLI_SAG
AG_469_N22,HLI_SAG
AG_670_J16,HLI_SAG
AG_670_K23,HLI_SAG
AG_670_L08,HLI_SAG
AG_670_N10,HLI_SAG
AG_670_O07,HLI_SAG
AG_670_O09,HLI_SAG
AG_670_O11,HLI_SAG
AG_670_O13,HLI_SAG
AG_670_O17,HLI_SAG
AG_673_K21,HLI_SAG
AG_673_L20,HLI_SAG
AG_673_M19,HLI_SAG
AG_673_P17,HLI_SAG
AG_676_J23,HLI_SAG
AG_676_L21,HLI_SAG
AG_676_M04,HLI_SAG
AG_676_M23,HLI_SAG
AG_676_O21,HLI_SAG
AG_676_P03,HLI_SAG
AG_676_P23,HLI_SAG
AG_679_K21,HLI_SAG
AG_679_M10,HLI_SAG
AG_679_M23,HLI_SAG
AG_679_N20,HLI_SAG
AG_679_N22,HLI_SAG
AG_679_O20,HLI_SAG
AG_679_P15,HLI_SAG
AG_679_P16,HLI_SAG
AG_683_K15,HLI_SAG
AG_683_N17,HLI_SAG
AG_683_O15,HLI_SAG
AG_686_J21,HLI_SAG
AG_686_L16,HLI_SAG
AG_686_P08,HLI_SAG
AG_686_P16,HLI_SAG
AG_459_A09,HLI_SAG
AG_459_M13,HLI_SAG
AG_686_P21,HLI_SAG
AG_679_N02,HLI_SAG
AG_673_O02,HLI_SAG
AG_686_M10,HLI_SAG
AG_459_J20,HLI_SAG
AG_673_O13,HLI_SAG
AG_683_O20,HLI_SAG
AG_670_L16,HLI_SAG
AG_676_P15_1,NA_SAG
AG_673_L23,HLI_SAG
AG_459_P02,HLI_SAG
AG_686_O05,HLI_SAG
AG_335_J02,HLII_SAG
AG_388_A01,HLII_SAG
AG_388_F11,HLII_SAG
AG_409_A22,HLI_SAG
AG_409_E23,HLI_SAG
AG_412_A14,HLII_SAG
AG_412_C21,HLII_SAG
AG_412_F02,HLI_SAG
AG_412_J13,HLII_SAG
AG_418_B17,HLII_SAG
AG_418_C17,HLII_SAG
AG_418_G23,HLII_SAG
AG_418_I20,HLII_SAG
AG_418_I21,HLII_SAG
AG_418_J17,HLII_SAG
AG_418_K17,HLII_SAG
AG_418_L19,HLII_SAG
AG_418_P06,HLII_SAG
AG_418_P13,HLII_SAG
AG_424_A03,HLII_SAG
AG_424_A14,HLII_SAG
AG_424_E18,HLII_SAG
AG_424_G03,HLII_SAG
AG_424_J22,HLII_SAG
AG_424_M03,HLII_SAG
AG_424_P16,HLII_SAG
AG_424_P18,HLII_SAG
AG_424_P23,HLII_SAG
AG_429_C19,HLII_SAG
AG_429_E20,HLII_SAG
AG_432_G10,HLII_SAG
AG_432_K16,HLII_SAG
AG_436_A04,HLII_SAG
AG_436_B23,HLI_SAG
AG_436_C05,HLI_SAG
AG_436_D21,HLII_SAG
AG_436_E22,HLII_SAG
AG_436_O11,HLI_SAG
AG_442_B03,HLII_SAG
AG_442_N07,HLII_SAG
AG_449_C14,HLII_SAG
AG_449_D16,HLII_SAG
AG_449_D22,HLII_SAG
AG_449_G23,HLII_SAG
AG_449_J16,HLII_SAG
AG_449_K21,HLII_SAG
AG_449_O05,HLII_SAG
AG_449_P16,HLI_SAG
AG_455_E04,HLII_SAG
AG_455_E15,HLII_SAG
AG_459_E08,HLII_SAG
AG_459_J14,HLII_SAG
AG_459_N19,HLII_SAG
